date,dad,trt,water_trt,plant,diameter_mm,leaf_count,stage,fruit_count
3/21/2025,7,HP,w,31,22,7,v,0
3/21/2025,7,HP,w,32,26,7,v,0
3/21/2025,7,HP,d,33,21,9,v,0
3/21/2025,7,HP,d,34,24,10,v,0
3/21/2025,7,HP,d,35,17,6,v,0
3/21/2025,7,HP,d,36,20,7,v,0
3/21/2025,7,HP,w,37,35,10,v,0
3/21/2025,7,HP,d,38,23,6,v,0
3/21/2025,7,MV,w,1,25,7,v,0
3/21/2025,7,MV,w,2,22,6,v,0
3/21/2025,7,MV,d,3,18,7,v,0
3/21/2025,7,MV,d,4,26,10,v,0
3/21/2025,7,MV,d,5,32,10,v,0
3/21/2025,7,MV,d,6,22,8,v,0
3/21/2025,7,MV,d,7,22,9,v,0
3/21/2025,7,MV,w,8,31,8,v,0
3/21/2025,7,MV,d,9,26,9,v,0
3/21/2025,7,MV,d,10,23,8,v,0
3/21/2025,7,MV,w,11,23,7,v,0
3/21/2025,7,MV,d,12,20,9,v,0
3/21/2025,7,MV,w,13,33,11,v,0
3/21/2025,7,MV,d,14,29,9,v,0
3/21/2025,7,MV,d,15,26,7,v,0
3/21/2025,7,MV,d,16,24,9,v,0
3/21/2025,7,MV,w,17,43,12,v,0
3/21/2025,7,MV,w,18,17,4,v,0
3/21/2025,7,MV,d,19,24,8,v,0
3/21/2025,7,MV,d,20,18,8,v,0
3/21/2025,7,MV,w,21,25,8,v,0
3/21/2025,7,MV,d,22,21,8,v,0
3/21/2025,7,MV,d,23,15,5,v,0
3/21/2025,7,MV,d,24,34,8,v,0
3/21/2025,7,MV,d,25,17,8,v,0
3/21/2025,7,MV,w,26,34,11,v,0
3/21/2025,7,MV,d,27,33,13,v,0
3/21/2025,7,MV,w,28,20,7,v,0
3/21/2025,7,MV,d,29,31,10,v,0
3/21/2025,7,MV,w,30,26,9,v,0
3/21/2025,7,MV,w,31,31,8,v,0
3/21/2025,7,MV,w,32,20,7,v,0
3/21/2025,7,MV,w,33,24,5,v,0
3/21/2025,7,MV,w,34,29,10,v,0
3/21/2025,7,MV,w,35,22,4,v,0
3/21/2025,7,MV,w,36,30,7,v,0
3/21/2025,7,MV,w,37,30,10,v,0
3/21/2025,7,MV,w,38,38,15,v,0
3/27/2025,14,C,w,1,36,22,v,0
3/27/2025,14,C,w,2,35,14,v,0
3/27/2025,14,C,w,3,47,26,v,0
3/27/2025,14,C,w,4,36,10,v,0
3/27/2025,14,C,w,5,53,34,v,0
3/27/2025,14,C,w,6,38,18,v,0
3/27/2025,14,C,w,7,21,12,v,0
3/27/2025,14,C,d,8,29,14,v,0
3/27/2025,14,C,w,9,47,22,v,0
3/27/2025,14,C,d,10,22,10,v,0
3/27/2025,14,C,w,11,45,28,v,0
3/27/2025,14,C,w,12,34,12,v,0
3/27/2025,14,C,d,13,16,9,v,0
3/27/2025,14,C,w,14,48,22,v,0
3/27/2025,14,C,d,15,24,8,v,0
3/27/2025,14,C,w,16,33,12,v,0
3/27/2025,14,C,d,17,30,16,v,0
3/27/2025,14,C,d,18,24,10,v,0
3/27/2025,14,C,w,19,45,28,v,0
